"DATE","TIME PERIOD","Monetary aggregate M1 reported by MFIs, central gov. and post office giro institutions in the euro area (annual growth rate) (BSI.M.U2.Y.V.M10.X.I.U2.2300.Z01.A)"
"2009-01-31","2009Jan","5.0"
"2009-02-28","2009Feb","6.1"
"2009-03-31","2009Mar","6.2"
"2009-04-30","2009Apr","8.2"
"2009-05-31","2009May","8.3"
"2009-06-30","2009Jun","9.6"
"2009-07-31","2009Jul","11.9"
"2009-08-31","2009Aug","13.1"
"2009-09-30","2009Sep","12.8"
"2009-10-31","2009Oct","11.7"
"2009-11-30","2009Nov","12.5"
"2009-12-31","2009Dec","12.2"
"2010-01-31","2010Jan","11.7"
"2010-02-28","2010Feb","11.2"
"2010-03-31","2010Mar","10.9"
"2010-04-30","2010Apr","10.6"
"2010-05-31","2010May","10.2"
"2010-06-30","2010Jun","9.4"
"2010-07-31","2010Jul","8.2"
"2010-08-31","2010Aug","7.7"
"2010-09-30","2010Sep","6.1"
"2010-10-31","2010Oct","5.0"
"2010-11-30","2010Nov","4.6"
"2010-12-31","2010Dec","4.5"
"2011-01-31","2011Jan","3.5"
"2011-02-28","2011Feb","3.1"
"2011-03-31","2011Mar","3.0"
"2011-04-30","2011Apr","1.7"
"2011-05-31","2011May","1.4"
"2011-06-30","2011Jun","1.4"
"2011-07-31","2011Jul","1.1"
"2011-08-31","2011Aug","1.6"
"2011-09-30","2011Sep","1.9"
"2011-10-31","2011Oct","2.0"
"2011-11-30","2011Nov","2.1"
"2011-12-31","2011Dec","1.8"
"2012-01-31","2012Jan","2.2"
"2012-02-29","2012Feb","2.3"
"2012-03-31","2012Mar","2.7"
"2012-04-30","2012Apr","2.3"
"2012-05-31","2012May","3.3"
"2012-06-30","2012Jun","3.5"
"2012-07-31","2012Jul","4.8"
"2012-08-31","2012Aug","4.8"
"2012-09-30","2012Sep","5.2"
"2012-10-31","2012Oct","6.0"
"2012-11-30","2012Nov","6.3"
"2012-12-31","2012Dec","6.7"
"2013-01-31","2013Jan","6.5"
"2013-02-28","2013Feb","7.0"
"2013-03-31","2013Mar","6.9"
"2013-04-30","2013Apr","8.4"
"2013-05-31","2013May","8.0"
"2013-06-30","2013Jun","7.4"
"2013-07-31","2013Jul","6.8"
"2013-08-31","2013Aug","6.8"
"2013-09-30","2013Sep","6.9"
"2013-10-31","2013Oct","6.7"
"2013-11-30","2013Nov","6.6"
"2013-12-31","2013Dec","5.7"
"2014-01-31","2014Jan","5.9"
"2014-02-28","2014Feb","5.9"
"2014-03-31","2014Mar","5.9"
"2014-04-30","2014Apr","5.0"
"2014-05-31","2014May","5.2"
"2014-06-30","2014Jun","5.8"
"2014-07-31","2014Jul","5.7"
"2014-08-31","2014Aug","5.7"
"2014-09-30","2014Sep","6.0"
"2014-10-31","2014Oct","6.0"
"2014-11-30","2014Nov","6.8"
"2014-12-31","2014Dec","8.0"
"2015-01-31","2015Jan","8.8"
"2015-02-28","2015Feb","9.0"
"2015-03-31","2015Mar","9.4"
"2015-04-30","2015Apr","10.4"
"2015-05-31","2015May","10.8"
"2015-06-30","2015Jun","11.2"
"2015-07-31","2015Jul","11.7"
"2015-08-31","2015Aug","11.5"
"2015-09-30","2015Sep","11.1"
"2015-10-31","2015Oct","11.4"
"2015-11-30","2015Nov","11.0"
"2015-12-31","2015Dec","10.7"
"2016-01-31","2016Jan","10.4"
"2016-02-29","2016Feb","10.5"
"2016-03-31","2016Mar","10.1"
"2016-04-30","2016Apr","9.7"
"2016-05-31","2016May","9.3"
"2016-06-30","2016Jun","8.6"
"2016-07-31","2016Jul","8.5"
"2016-08-31","2016Aug","8.5"
"2016-09-30","2016Sep","8.4"
"2016-10-31","2016Oct","8.1"
"2016-11-30","2016Nov","8.4"
"2016-12-31","2016Dec","8.8"
"2017-01-31","2017Jan","8.6"
"2017-02-28","2017Feb","8.4"
"2017-03-31","2017Mar","9.1"
"2017-04-30","2017Apr","9.1"
"2017-05-31","2017May","9.1"
"2017-06-30","2017Jun","9.7"
"2017-07-31","2017Jul","9.4"
"2017-08-31","2017Aug","9.6"
"2017-09-30","2017Sep","9.6"
"2017-10-31","2017Oct","9.5"
"2017-11-30","2017Nov","9.2"
"2017-12-31","2017Dec","8.8"
"2018-01-31","2018Jan","8.8"
"2018-02-28","2018Feb","8.3"
"2018-03-31","2018Mar","7.5"
"2018-04-30","2018Apr","7.3"
"2018-05-31","2018May","7.7"
"2018-06-30","2018Jun","7.5"
"2018-07-31","2018Jul","7.1"
"2018-08-31","2018Aug","6.6"
"2018-09-30","2018Sep","6.8"
"2018-10-31","2018Oct","6.8"
"2018-11-30","2018Nov","6.8"
"2018-12-31","2018Dec","6.7"
"2019-01-31","2019Jan","6.4"
"2019-02-28","2019Feb","6.7"
"2019-03-31","2019Mar","7.5"
"2019-04-30","2019Apr","7.5"
"2019-05-31","2019May","7.2"
"2019-06-30","2019Jun","7.2"
"2019-07-31","2019Jul","7.8"
"2019-08-31","2019Aug","8.4"
"2019-09-30","2019Sep","8.0"
"2019-10-31","2019Oct","8.4"
"2019-11-30","2019Nov","8.3"
"2019-12-31","2019Dec","8.0"
"2020-01-31","2020Jan","8.0"
"2020-02-29","2020Feb","8.1"
"2020-03-31","2020Mar","10.5"
"2020-04-30","2020Apr","11.9"
"2020-05-31","2020May","12.5"
"2020-06-30","2020Jun","12.8"
"2020-07-31","2020Jul","13.6"
"2020-08-31","2020Aug","13.2"
"2020-09-30","2020Sep","13.7"
"2020-10-31","2020Oct","13.9"
"2020-11-30","2020Nov","14.6"
"2020-12-31","2020Dec","15.7"
"2021-01-31","2021Jan","16.5"
"2021-02-28","2021Feb","16.6"
"2021-03-31","2021Mar","13.8"
"2021-04-30","2021Apr","12.5"
"2021-05-31","2021May","11.9"
"2021-06-30","2021Jun","11.9"
"2021-07-31","2021Jul","11.3"
"2021-08-31","2021Aug","11.4"
"2021-09-30","2021Sep","11.4"
"2021-10-31","2021Oct","10.9"
"2021-11-30","2021Nov","10.2"
"2021-12-31","2021Dec","9.8"
"2022-01-31","2022Jan","9.5"
"2022-02-28","2022Feb","9.3"
"2022-03-31","2022Mar","9.1"
"2022-04-30","2022Apr","8.6"
"2022-05-31","2022May","8.3"
"2022-06-30","2022Jun","7.4"
"2022-07-31","2022Jul","6.9"
"2022-08-31","2022Aug","6.8"
"2022-09-30","2022Sep","5.2"
"2022-10-31","2022Oct","3.5"
"2022-11-30","2022Nov","2.2"
"2022-12-31","2022Dec","0.1"
"2023-01-31","2023Jan","-1.3"
"2023-02-28","2023Feb","-3.1"
"2023-03-31","2023Mar","-4.7"
"2023-04-30","2023Apr","-5.8"
"2023-05-31","2023May","-7.0"
"2023-06-30","2023Jun","-8.0"
"2023-07-31","2023Jul","-9.1"
"2023-08-31","2023Aug","-10.4"
"2023-09-30","2023Sep","-10.0"
"2023-10-31","2023Oct","-10.0"
"2023-11-30","2023Nov","-9.6"
"2023-12-31","2023Dec","-8.6"
"2024-01-31","2024Jan","-8.6"
"2024-02-29","2024Feb","-7.7"
"2024-03-31","2024Mar","-6.7"
"2024-04-30","2024Apr","-5.9"
"2024-05-31","2024May","-5.0"
"2024-06-30","2024Jun","-3.4"
"2024-07-31","2024Jul","-3.0"
"2024-08-31","2024Aug","-2.0"
"2024-09-30","2024Sep","-1.3"
"2024-10-31","2024Oct","0.2"
"2024-11-30","2024Nov","1.5"
"2024-12-31","2024Dec","1.8"
"2025-01-31","2025Jan","2.7"
"2025-02-28","2025Feb","3.4"
"2025-03-31","2025Mar","3.9"
"2025-04-30","2025Apr","4.7"
"2025-05-31","2025May","5.1"
"2025-06-30","2025Jun","4.6"
