date,rate,rate_interpolated,log_rate,diff,Wt,scaled_Wt,e_t,scaled_Wt_bin
2017-02-03,1.0792,1.0792,0.076220025911409,-0.0009261832652447,-0.0008690015484105,-0.08690015484105,0,"(-0.5, 0.5]"
2017-02-06,1.0731,1.0731,0.0705516559509446,-0.0056683699604643,-0.0056111882436301,-0.56111882436301,-1,"(-inf, -0.5]"
2017-02-07,1.069,1.069,0.0667236320429081,-0.0038280239080365,-0.0037708421912022,-0.37708421912022,0,"(-0.5, 0.5]"
2017-02-08,1.0708,1.0708,0.0684060326640603,0.0016824006211522,0.0017395823379864,0.17395823379864,0,"(-0.5, 0.5]"
2017-02-09,1.0658,1.0658,0.0637256908805449,-0.0046803417835154,-0.0046231600666812,-0.46231600666812,0,"(-0.5, 0.5]"
2017-02-10,1.065,1.065,0.0629747991613883,-0.0007508917191565,-0.0006937100023222,-0.06937100023222,0,"(-0.5, 0.5]"
2017-02-13,1.0603,1.0603,0.0585518869496154,-0.0044229122117728,-0.0043657304949386,-0.43657304949385994,0,"(-0.5, 0.5]"
2017-02-14,1.0577,1.0577,0.0560967393518702,-0.0024551475977452,-0.002397965880911,-0.23979658809110002,0,"(-0.5, 0.5]"
2017-02-15,1.0597,1.0597,0.0579858491986533,0.0018891098467831,0.0019462915636173,0.19462915636173,0,"(-0.5, 0.5]"
2017-02-16,1.066,1.066,0.0639133257436528,0.0059274765449995,0.0059846582618337,0.59846582618337,1,"(0.5, inf)"
2017-02-17,1.0614,1.0614,0.0595887914116574,-0.0043245343319954,-0.0042673526151611,-0.42673526151611,0,"(-0.5, 0.5]"
2017-02-20,,1.05825,0.0566166004188959,-0.0029721909927615,-0.0029150092759272,-0.29150092759272,0,"(-0.5, 0.5]"
2017-02-21,1.0551,1.0551,0.0536355491659093,-0.0029810512529866,-0.0029238695361523,-0.29238695361523,0,"(-0.5, 0.5]"
2017-02-22,1.0555,1.0555,0.0540145883062383,0.000379039140329,0.0004362208571632,0.043622085716319994,0,"(-0.5, 0.5]"
2017-02-23,1.0586,1.0586,0.0569472804417501,0.0029326921355117,0.0029898738523459,0.29898738523459,0,"(-0.5, 0.5]"
2017-02-24,1.058,1.058,0.0563803334361076,-0.0005669470056424,-0.0005097652888081,-0.050976528880809995,0,"(-0.5, 0.5]"
2017-02-27,1.0624,1.0624,0.0605304997400323,0.0041501663039246,0.0042073480207588,0.42073480207588,0,"(-0.5, 0.5]"
2017-02-28,1.0618,1.0618,0.0599655811674341,-0.0005649185725982,-0.000507736855764,-0.050773685576399996,0,"(-0.5, 0.5]"
2017-03-01,1.0564,1.0564,0.0548669014408401,-0.005098679726594,-0.0050414980097598,-0.50414980097598,-1,"(-inf, -0.5]"
2017-03-02,1.0514,1.0514,0.0501226094032105,-0.0047442920376295,-0.0046871103207953,-0.46871103207952997,0,"(-0.5, 0.5]"
2017-03-03,1.0552,1.0552,0.0537303224209677,0.0036077130177571,0.0036648947345914,0.36648947345914,0,"(-0.5, 0.5]"
2017-03-06,1.0586,1.0586,0.0569472804417501,0.0032169580207824,0.0032741397376166,0.32741397376166,0,"(-0.5, 0.5]"
2017-03-07,1.0582,1.0582,0.0565693514878943,-0.0003779289538557,-0.0003207472370215,-0.03207472370215,0,"(-0.5, 0.5]"
2017-03-08,1.0547,1.0547,0.0532563663004314,-0.0033129851874628,-0.0032558034706286,-0.32558034706286,0,"(-0.5, 0.5]"
2017-03-09,1.0586,1.0586,0.0569472804417501,0.0036909141413186,0.0037480958581528,0.37480958581528,0,"(-0.5, 0.5]"
2017-03-10,1.0667,1.0667,0.0645697706493,0.0076224902075499,0.0076796719243841,0.76796719243841,1,"(0.5, inf)"
2017-03-13,1.067,1.067,0.0648509723196162,0.0002812016703162,0.0003383833871504,0.03383833871504,0,"(-0.5, 0.5]"
2017-03-14,1.0645,1.0645,0.0625052053513971,-0.0023457669682191,-0.0022885852513849,-0.22885852513849,0,"(-0.5, 0.5]"
2017-03-15,1.063,1.063,0.0610950993598108,-0.0014101059915862,-0.001352924274752,-0.13529242747519998,0,"(-0.5, 0.5]"
2017-03-16,1.0738,1.0738,0.0712037590063321,0.0101086596465213,0.0101658413633555,1.0165841363355501,1,"(0.5, inf)"
2017-03-17,1.0742,1.0742,0.0715761984892219,0.0003724394828898,0.000429621199724,0.0429621199724,0,"(-0.5, 0.5]"
2017-03-20,1.0754,1.0754,0.0726926853934405,0.0011164869042186,0.0011736686210528,0.11736686210528,0,"(-0.5, 0.5]"
2017-03-21,1.081,1.081,0.0778865386570712,0.0051938532636306,0.0052510349804648,0.52510349804648,1,"(0.5, inf)"
2017-03-22,1.08,1.08,0.0769610411361284,-0.0009254975209428,-0.0008683158041085,-0.08683158041085,0,"(-0.5, 0.5]"
