path_number,2022-12-30,2022-12-31,2023-01-01,2023-01-02,2023-01-03,2023-01-04,2023-01-05,2023-01-06,2023-01-07,2023-01-08,2023-01-09,2023-01-10,2023-01-11,2023-01-12,2023-01-13,2023-01-14,2023-01-15,2023-01-16,2023-01-17,2023-01-18,2023-01-19,2023-01-20,2023-01-21,2023-01-22,2023-01-23,2023-01-24,2023-01-25,2023-01-26,2023-01-27,2023-01-28,2023-01-29,2023-01-30
183,1.0698,1.0590949420126328,1.0590345753214052,1.0589742120709809,1.0483774833858563,1.0378867918993209,1.02750107653981,1.0274425106475908,1.0273839480935327,1.0171033304644137,1.01704535722683,1.016987387293627,1.016929420664616,1.0067534172833537,1.0066960339740083,0.9966224319742474,0.9965656261146072,0.9965088234928088,0.9964520241086675,0.9963952279619989,0.9963384350526183,0.9962816453803414,0.9962248589449835,1.0061797313515253,1.0061223807413462,1.0060650334000587,1.0161182346931754,1.0160603176044507,1.026213397733182,1.0261549052365633,1.0260964160739217,1.0260379302450675
184,1.0698,1.0697390231378572,1.0590345753214052,1.0589742120709809,1.0589138522611636,1.0588534958917577,1.0482579751648482,1.0481982261631266,1.048138480567001,1.0480787383762773,1.0375910363108027,1.0375318953072676,1.0374727576746736,1.0374136234128286,1.0373544925215405,1.0372953650006171,1.0372362408498665,1.0268570352928497,1.0267985061099356,1.0267399802630897,1.0266814577521222,1.0266229385768426,1.0163499360636379,1.0162920057683114,1.0162340787749176,1.0060650334000587,1.0060076893274765,1.0059503485234131,1.0058930109876827,1.0058356767200984,1.0057783457204745,1.0057210179886242
185,1.0698,1.0697390231378572,1.0590345753214052,1.0696170798401194,1.0695561134041285,1.0694951504431254,1.0694341909569118,1.0693732349452902,1.069312282408062,1.0692513333450298,1.079935929797729,1.0798743752040532,1.0906651234209113,1.0906029572806282,1.090540794683714,1.090478635629967,1.1013753479357131,1.101312571330031,1.1012497983025133,1.1011870288529566,1.1011242629811562,1.1010615006869087,1.10099874197001,1.1009359868302562,1.1008732352674433,1.0898572399222588,1.0897951198300226,1.0897330032785308,1.0896708902675816,1.089608780796973,1.0895466748665035,1.089484572475971
186,1.0698,1.0697390231378572,1.0804284928775638,1.0803669102085924,1.0803053310497333,1.0802437554007862,1.080182183261551,1.0693732349452902,1.069312282408062,1.0692513333450298,1.0691903877559947,1.0584914299129742,1.0478995322345768,1.0478398036635197,1.0583104433532509,1.0688857119138542,1.0581898028393486,1.0581294877395835,1.058069176077681,1.0580088678534452,1.0579485630666803,1.0578882617171903,1.0578279638047792,1.0472427051646702,1.0471830140316893,1.047123326301006,1.0575868065220067,1.057526525792052,1.057466248498001,1.057405974639658,1.057345704216827,1.0572854372293121
187,1.0698,1.0697390231378572,1.0696780497512963,1.0696170798401194,1.0803053310497333,1.0911003856341932,1.091038194684671,1.0801206146318276,1.0800590495114162,1.0799974879001166,1.079935929797729,1.0798743752040532,1.0906651234209113,1.079751276542037,1.090540794683714,1.090478635629967,1.090416480119185,1.090354328151166,1.0902921797257084,1.1011870288529566,1.1011242629811562,1.1010615006869087,1.10099874197001,1.1009359868302562,1.1008732352674433,1.1008104872813678,1.111810441605208,1.1229203140271449,1.1228563093933945,1.1227923084078046,1.111556977720503,1.111493620778463
188,1.0698,1.0697390231378572,1.0696780497512963,1.0696170798401194,1.0695561134041285,1.0802437554007862,1.080182183261551,1.0801206146318276,1.0800590495114162,1.0908516431039947,1.0907894663323925,1.0907272931047653,1.0906651234209113,1.1015636992237863,1.1015009118823866,1.1014381281197636,1.1013753479357131,1.101312571330031,1.0902921797257084,1.09023003484261,1.090167893501669,1.0901057557026834,1.10099874197001,1.1120005774468738,1.1119371952203698,1.1118738166065498,1.1007477428718253,1.1006850020386123,1.100622264781525,1.1005595311003593,1.0895466748665035,1.089484572475971
189,1.0698,1.0697390231378572,1.0696780497512963,1.0803669102085924,1.0803053310497333,1.0802437554007862,1.080182183261551,1.0801206146318276,1.069312282408062,1.0692513333450298,1.0691903877559947,1.0691294456407594,1.0690685069991257,1.0690075718308956,1.0689466401358712,1.0688857119138542,1.0795666548593519,1.0795051213137477,1.0794435912754556,1.09023003484261,1.1011242629811562,1.1010615006869087,1.10099874197001,1.1009359868302562,1.1119371952203698,1.1118738166065498,1.111810441605208,1.1117470702161383,1.1116837024391348,1.1116203382739915,1.1004968009949117,1.089484572475971
190,1.0698,1.0697390231378572,1.0696780497512963,1.0696170798401194,1.0695561134041285,1.0694951504431254,1.0694341909569118,1.0693732349452902,1.069312282408062,1.0692513333450298,1.0691903877559947,1.0584914299129742,1.0584310976209557,1.05837076876778,1.0583104433532509,1.0477203567345066,1.0581898028393486,1.0581294877395835,1.058069176077681,1.0686420337519038,1.068581122891956,1.0685202155038283,1.0578279638047794,1.0577676693292513,1.0683375141683864,1.06827662066556,1.0682157306335647,1.068154844072202,1.0680939609812745,1.0680330813605843,1.0679722052099334,1.0679113325291243
191,1.0698,1.0697390231378572,1.0696780497512963,1.0696170798401194,1.0803053310497333,1.0911003856341932,1.091038194684671,1.090976007279932,1.0909138234197737,1.101814884381229,1.1017520827226837,1.0907272931047653,1.1016264901441661,1.1015636992237863,1.1015009118823866,1.1014381281197636,1.1013753479357131,1.101312571330031,1.1012497983025133,1.1011870288529566,1.090167893501669,1.0901057557026834,1.0900436214454516,1.0791359936866805,1.0790744846880636,1.0790129791953595,1.0789514772083686,1.078889978726891,1.0788284837507272,1.0680330813605843,1.0787055043135407,1.0679113325291243
192,1.0698,1.0697390231378572,1.0590345753214052,1.0696170798401194,1.0695561134041285,1.0802437554007862,1.080182183261551,1.0801206146318276,1.0800590495114162,1.0799974879001166,1.079935929797729,1.0691294456407594,1.0690685069991257,1.0690075718308956,1.0689466401358712,1.0688857119138542,1.0688247871646468,1.0687638658880514,1.0687029480838697,1.0580088678534452,1.0579485630666803,1.0578882617171903,1.0578279638047792,1.0683984111422413,1.0683375141683864,1.06827662066556,1.0682157306335647,1.068154844072202,1.0680939609812745,1.057405974639658,1.0468249386752666,1.0467652713542968
